Contributing Repository,Phase Digitized,Collection Title,Creator,date created (W3CDTF),"date created (human readable, for approximate dates)",Extent,Identifier/Collection Number,Finding Aid Link,Subjects,Abstract,Additional Description,Research Interest,TROUBLESHOOTING
"Special Collections Research Center, Temple University Libraries",CLIR/Pilot,"Jewish Ys and Centers of Greater Philadelphia, Neighborhood Centre Branch Records","Jewish Ys and Centers of Greater Philadelphia. Neighborhood Centre Branch | Neighborhood Centre (Philadelphia, Pa.) | Young Women's Union (Philadelphia, Pa.)",1891-1969,,92 linear feet,SCRC 22,https://library.temple.edu/finding_aids/137,Day camps--Pennsylvania--Philadelphia | Jewish community centers--Pennsylvania--Philadelphia,"The Jewish Ys and Centers of Greater Philadelphia, Neighborhood Centre Branch Records, document the organization's activities as a social welfare organization, settlement house, educational facility, and recreational community center. The collection contains administrative and financial records, correspondence, child care case files, self-studies and surveys, population statistics, and programming documentation from the primary branch, satellite branches, and day camps operated by the Neighborhood Centre. The collection provides details about the planning and implementation of services at the center, designed to aid and improve the lives of the Jewish immigrant community in twentieth century Philadelphia.","Records related to the pre-1920 era, for most of which the organization was named the Young Women's Union, are scarce. The charter, constitution, and annual reports provide insight into the services the YWU provided for its neighbors, including a day nursery and shelter, kindergarten, gymnasium, library, sewing school, evening classes and clubs, and more. Annual reports also shed some light on how the YWU negotiated its relationship to mainstream American culture, including Americanization. Finally, papers document the YWU's connection to other Progressive institutions, especially the Children's Bureau.","Much of the scholarly work on settlement houses has focused on those established by elite Protestant women for immigrant communities who were largely Catholic and Jewish, investigating the power dynamics between these two very different groups. Less work has been done on activists who shared cultural points of reference with those they aimed to help, although historians have found that African American women who aimed to help other members of their community operated somewhat differently. These papers offer the opportunity to fill in another piece of this puzzle. Did a shared religion mitigate tensions between these two groups, and, if so, how does this relationship alter our understanding of Progressive reform more broadly?",
"Special Collections Research Center, Temple University Libraries",CLIR,Jewish Community Centers of Greater Philadelphia Records,"Jewish Ys and Centers of Greater Philadelphia. Neighborhood Centre Branch | Neighborhood Centre (Philadelphia, Pa.) | Young Women's Union (Philadelphia, Pa.)",1875-1990,,8.02 linear feet,SCRC 177,https://library.temple.edu/finding_aids/171,Day camps--Pennsylvania--Philadelphia | Jewish community centers--Pennsylvania--Philadelphia,"The Jewish Community Centers (JCC) of Greater Philadelphia operated community and senior centers at locations throughout the city. Formally dissolved in 2009, the organization traced its roots back to the founding of the Young Men's Hebrew Association (YMHA), later the Young Men's and Young Women's Hebrew Association (YM-YWHA). The centers provided educational, cultural, and social opportunities to Philadelphians regardless of race, creed, or national origin. The Neighborhood Centre was a community service organization and settlement house established in 1885 as the Young Women's Union (YWU). The YWU was organized to operate a kindergarten and to aid children of Eastern European Jewish immigrants settling in Philadelphia. In 1918, the YWU reincorporated as the Neighborhood Centre, and began serving all religious and ethnic groups in the neighborhood in which it was located. Programming at the center included youth canteens, various hobby clubs, holiday camps, musical events, and classes in art, music, and drama. In the 1960s, the similarity between the programming of the Neighborhood Centre and the YM-YWHA became apparent. In 1965, the YM-YWHA merged with the Neighborhood Centre to form the Jewish Ys and Centers (JYC) of Greater Philadelphia. In this collection, Series 2: Neighborhood Centre contains materials created by the Neighborhood Centre prior to its merger with the YM-YWHA. Materials include committee meeting minutes, correspondence, and reports, as well as annual meeting minutes and reports. ",,,
"Special Collections Research Center, Temple University Libraries",Pilot,"Association for Jewish Children (Philadelphia, Pa.) Records","Association for Jewish Children (Philadelphia, Pa.)",1855-1973,,29.72 linear feet,SCRC 37,https://library.temple.edu/finding_aids/239,Adoption--Pennsylvania--Philadelphia | Child welfare--Pennsylvania--Philadelphia | Foster home care--Pennsylvania--Philadelphia | Jewish children--Institutional care--Pennsylvania--Philadelphia | Jewish orphanages--Pennsylvania--Philadelphia | Unaccompanied refugee children--United States,"The Jewish Foster Home and Orphan Asylum was founded in 1855 as the Jewish Foster Home Society for the purposes of ""providing a home for destitute and unprotected children of Jewish parentage."" Rebecca Gratz, secretary of the Philadelphia Orphan Asylum, was among the founding members of the Jewish Foster Home Society. This collection contains admission registers for foster home wards, indenture agreements, annual reports, administrative records, and reports on the foster home. The admission registers record the names and ages of children entering the foster home, the date of entry, and in some cases nativity, an abbreviated statement of reason for placement, and date of discharge from the home. Some of the earliest records of admission also include indenture agreements or contracts signed by a parent or guardian binding the institution to provide food, clothing, medicine, and education for children placed there. In return, the parent or guardian committed the child to a stated number of years of labor. Administrative records in this series include Board of Managers meeting minutes, a near complete run of annual reports from 1856 to 1919, and documentation about the creation and administration of a fund to educate wards of the foster home through the Cassie Theobold Pfaelzer Trust. Also of note are the meeting minutes of the Girl's Literary Society, a group consisting of older female wards who engaged in literary recitation and musical performances for the benefit of the residents.",,"What makes these records interesting also makes it challenging to fit the collection under the scope of women's rights. Until 1875, managers and officers were all women, while men sat on the Board of Council. Starting in 1875, men filled the roles previously held by women, who were demoted to the associate board. As a result, their voices disappeared from annual reports, where previously they had expounded on the relationship between women and reform work in some detail. While this lends itself to comparing different reform strategies and philosophies, it also makes it difficult to locate women's agency.",
"Special Collections Research Center, Temple University Libraries",Pilot,"Octavia Hill Association (Philadelphia, Pa.) Records",Octavia Hill Association,1880-1970,,8.25 linear feet,SCRC 29,https://library.temple.edu/finding_aids/649,"Parrish, Helen L.","The Octavia Hill Association was incorporated in 1896 to improve working class housing conditions through the sympathetic management of dwellings which it purchased and renovated. The Association's activities were modeled after the work in London of Octavia Hill, with whom one of its founders, Helen Parrish, had studied. These records contain the personal diaries, correspondence, and notes of Helen Parrish (1888-1943), as well as reports, legislative files, correspondence, publications, and clippings of the Octavia Hill Association (1880-1970). Also included are glass lantern slides, negatives, and photographic reprints relating to the Association's properties and community activities, and depicting housing interiors and exteriors before and after renovations, court yards, and street scenes around Philadelphia.","The diaries detail Helen Parrish's ""friendly visits"" to her tenants. Like other early social welfare work, these visits were incredibly invasive, policing tenants' sexual behavior, childcare practices, financial decisions, and drinking habits. Race relations, especially interracial relationships, come up frequently. Interestingly, unlike social welfare programs aimed exclusively at women (mothers' pensions, for example, and, later, ADC), Parrish policed the behavior of both men and women. She mentions many of the same people several times, making it possible for researchers to trace their stories. Correspondence is mostly incoming, including several letters from Octavia Hill and her sister, Miranda. Notes and speeches go the furthest in documenting the influences on Parrish and the OHA, as well as their very specific vision for how best to practice charity. Meanwhile, subseries on legislative involvement and speeches, conferences, and reports best document the actions the OHA pursued.","It is rare for historical figures to lay out their thoughts, influences, and goals so explicitly. Helen Parrish emerges as a figure as complex and compelling as Jane Addams, one whose life and work encapsulate the central paradox of Progressivism as both altruistic and coercive. This collection thus adds new evidence to the perennial debate over which characteristic more fundamentally describes this movement. Moreover, these papers reveal Philadelphia to be a city as important to Progressive reform as New York and Chicago, not only within the US but also as a hub in the transatlantic circulation of Progressive ideas.",
United Lutheran Seminary Library,NEH,The Lutheran Deaconess Movement in the United States,,1886-1920,,,The Lutheran Deaconess Movement in the United States,,,"The Lutheran Deaconess Movement in the United States begun with the arrival of four German deaconesses in 1849 at the request of Rev. William Passavant in Pittsburgh, PA. By 1895, multiple Lutheran Deaconess communities had been founded, with the Philadelphia and Baltimore Motherhouses at the center of East Coast work. This collection contains a survey of published materials from these two Motherhouses as well as the annual Proceedings of the Lutheran Deaconess movement in the General Synod and then United Lutheran Church.","There are no finding aids to this material, as it's composed of materials from the Library's general collection. Most of these materials can be found in the Library catalog, https://catalog.easterncluster.org",,
United Lutheran Seminary Library,NEH,Annie Sanford Collection of Missionary Papers,"Sanford, Annie Evaline, 1873-1961",1894-1959,1894-1959 (bulk 1891-1940),0.42 linear feet,ULS-MS-064,https://ulsem.libraryhost.com/repositories/4/resources/47,,"This collection includes the papers and photographs of Annie Sanford, a Lutheran Missionary who served in India from 1895-1940. Miss Sanford completed a rotating schedule of seven years in India, followed by a two-year furlough in the United States.

The records are arranged into two series: 1) Documents and 2) Photographs. The contents of each series are arranged by subject in chronological order. The original pages of her journal were at some point returned to the family after originally received by the Library, however mimeographed copies are contained here. Collection covers 1891-1959, with the bulk covering her time in Guntur, India and global travel between 1891 and 1940.",,,
United Lutheran Seminary Library,NEH,Women's Missionary Societies of the Lutheran Church,,1870-1920,,,Women's Missionary Societies of the Lutheran Church,,,"This collection contains the manuscript executive board minutes, annual Proceedings, and periodical of the Women's Home and Foreign Missionary Society of the Lutheran Ministerium of Pennsylvania as well as some published volumes from related organizations, such as the Woman's Home and Foreign Missionary Society of the (Lutheran) General Synod.","There are no finding aids to this material, as it's composed of materials from the Lutheran Archive Center at Philadelphia, https://www.lacphila.org, and the Library's general collection, https://catalog.easterncluster.org",,
The Union League Legacy Foundation,NEH,Union League Collections. Civil War. Other Civil War Papers.,,1861-1911,,3 linear feet,Union League Collections. Civil War. Other Civil War Papers.,https://ulheritagecenter.pastperfectonline.com/archive/742D4EB1-8600-47D7-ADDF-652890349812,"United States--History--Civil War, 1861-1865 | United States--History--Civil War, 1861-1865--Women | United States--History--Civil War, 1861-1865--Social aspects | United States--History--Civil War, 1861-1865--Civilian relief | Charities--United States--History | Veterans--Employment--United States | Veterans--Services for--United States--Finance","This collection consists of papers related to the American Civil War, including letters from soldiers to family and friends. Of interest is an 1866 record book of relief work for Civil War veterans and their families.",,,
University of Delaware,CLIR,"Alice Dunbar-Nelson papers, MSS 0113","Dunbar-Nelson, Alice Moore, 1875-1935",1895-1942,,7.8 linear feet,MSS 0113,https://library.udel.edu/special/findaids/view?docId=ead/mss0113.xml,"Dunbar-Nelson, Alice Moore, 1875-1935 | Dunbar, Paul Laurence, 1872-1906 | African American authors--20th century","The Alice Dunbar-Nelson Papers consist of the literary, professional, and personal papers of Alice Dunbar-Nelson. The papers include an extensive collection of her incoming correspondence. Of particular note is her correspondence (1895-1904) with Paul Laurence Dunbar, which also includes her letters to Dunbar. The Alice Dunbar-Nelson Papers also include a comprehensive collection of manuscripts of her writing, including novels, stories, poetry, drama, and essays. Dunbar-Nelson maintained a daily diary for most of her adult life and the extent portions of her diaries are present in her papers. The Alice Dunbar-Nelson papers also include significant collections of family papers, scrapbooks, newspaper clippings, ephemera, and memorabilia.",,,
University of Delaware,CLIR (bonus),"Woman Suffrage collection, MSS 0477",,1869-1955,1869-1955 (bulk 1900-1920),1 linear foot,MSS 0477,https://library.udel.edu/special/findaids/view?docId=ead/mss0477.xml,Women--Suffrage--United States--19th century | Women--Suffrage--United States--20th century,"The Woman Suffrage collection comprises ephemera, pamphlets, books, and realia that relate to the campaign for women's voting rights.",,,
"Haverford College Libraries, Quaker & Special Collections",NEH,"The collection of Beulah Hurley Waring and Alston Waring, New Hope, PA","Waring, Beulah Hurley | Waring, P. Alston (Pinckney Alston)",1918-1922,,2 linear feet,HC.MC-1225,http://archives.tricolib.brynmawr.edu/repositories/5/resources/341,,"Beulah Hurley Waring (1886-), a Quaker, attended Columbia Teachers College and taught at State Teachers College in Newark. She apparently taught at a Friends School in Philadelphia prior to working for the American Friends Service Committee/ Friends War Victims Relief Committee and Anglo-American Friends Mission/ American Red Cross during and after World War I, especially with the child feeding program. She applied for a position to work as a nurse's aid in Chalon, France in 1917. She was sent to France in 1918 and became the head of the section to provide food and shelter for victims of the war. In 1921, she was among the first American woman to enter Russia under the American Relief Administration.",,,"Not showing link for ""view digitized items from collection"": http://home.ryanfindley.com:3000/records/mscoll228"
"Haverford College Libraries, Quaker & Special Collections",NEH,"Elkinton, Waring family papers",,1917-1919,,0.1 linear feet,HC.MC-1239,http://archives.tricolib.brynmawr.edu/resources/hccoll_1239,,"This collection includes information about multiple generations of the Elkinton and Waring families. It is concentrated on two generations: firstly, that of Howard West Elkinton (1892-1955) and Katharine Wistar Mason Elkinton (1892/3-1961), his wife, and secondly, that of their daughter, Theodora Elkinton (1927-) who married Thomas Waring (1921-2001). It is a story of life choices made by these Quakers: for Howard and Katharine Elkinton, to serve under the American Friends Service Committee in Europe after World War I and during World War II providing relief aid, and for Theodora and Tom Waring to continue this tradition by serving in Finland after World War II and then in the field of education in the United States.","Papers provide insight into the private and public aspects of their lives, including Howard and Katharine Elkinton's work to assist in post-World War I France under the auspices of the American Friends Service Committee.

Katharine Wistar Mason Elkinton (1892-1961) and Howard West Elkinton (1892-1955) married in 1916. During World War I, both worked for the American Friends Service Committee (AFSC) in France as relief workers (1917-1919). She taught and worked in the maternity ward of a hospital in Chalons while Howard was posted in Sermaize doing harvesting work. ",,"Title in C102 is correct but needs to match with ""Howard and Katharine Wistar Mason Elkinton Letters --http://archives.tricolib.brynmawr.edu/repositories/5/archival_objects/51513"" in item records and in collection names spreadsheet"
"Haverford College Libraries, Quaker & Special Collections",NEH,Female Anti-Slavery Sewing Society records,,1852-1854,,0.03 linear feet,HC.MC-975-09-010,http://archives.tricolib.brynmawr.edu/resources/hcmc-975-09-010,,"The Female Anti-Slavery Sewing Society's mission was to organize “a Sewing Society, for the purpose of relieving the sufferings of that class of our countrymen, who have fled from the oppression which they endured under the unjust laws of our country, and found a refuge in Canada."" The minutes do not indicate location, founding or ending dates for the Society. It was a membership based Society, and its mission also describes in detail the simple suppers that were provided for the meetings.The collection includes one book from 1852 - 1854 which begins with the mission of the society, and otherwise includes informal minutes, listings for material and financial donations given by memberships, and the number of people at each meeting. The back pages include lists of monetary donations made to constituent members for the same years.",,"The Sewing Society represents a form of freedmen’s relief that was dominated by women--sewing and providing clothing. The records do not reveal much if anything about the recipients of the clothing. However, they list the women involved in the sewing and donations, providing an accompaniment to the other antislavery and freedmen’s relief sources in In Her Own Right that helps to document the networks of women in these movements. Individuals mentioned include Emily Howland, Martha Schofield, and Graceanna Lewis.",Changed C103 to correct - now matches home description & record. Needs to be re-uploaded & indexed.
"Special Collections Research Center, Temple University Libraries",NEH,Hebrew Sunday School Society of Philadelphia (Pa.) Records,Hebrew Sunday School Society of Philadelphia (Pa.),1888-1920,"1802-2002, bulk 1888-1980",35 linear feet,SCRC 50,http://library.temple.edu/scrc/hebrew-sunday-school-society,,"In 1838, Rebecca Gratz (a Jewish philanthropist in Philadelphia), along with the Female Hebrew Benevolent Society, founded a Sunday School in Philadelphia that was open to all Jewish children regardless of parental financial standing or synagogue affiliation. Founded in 1819, the Female Hebrew Benevolent Society was the first Jewish charitable organization in Philadelphia, and the first such organization in the United States to offer free basic Jewish religious education. In the first year of operation, attendance at the school grew to 80 students, a number which represented nearly 90 percent of the Jewish children in Philadelphia at the time. The Female Hebrew Benevolent Society operated the Sunday School until 1858 when it was incorporated as the Hebrew Sunday School Society (HSSS). Rebecca Gratz served as president of the organization until she was 80 years of age. The Hebrew Sunday School Society records house the organizational records of HSSS. This collection, which dates from 1802 to 2002, consists of minutes, reports, correspondence, budgets and financial statements, staff and student lists, event programs, clippings, books and research materials, photographs, lantern slides, pins, plaques, and other memorabilia. These records and materials document the history and evolution of HSSS and evidence an organization concerned with the betterment of Jewish children through religious education, including those with special needs. The collection is a unique and rich example of the growth and establishment of the first Hebrew Sunday schools that existed outside of any synagogue, with records that provide a look into how decisions were made over the course of the Society’s existence regarding what and how to teach, as well as a look into Jewish life in Philadelphia.","The pre-1920 materials in this collection shed significant light on the operations of the school. Minutes and annual reports describe academic activities and procedural matters, and there is also some insight into the school’s educational philosophy. Students were to be as quiet as possible, stay in their desks, and repeat their teachers’ words, and teachers were to be “kind” but “strict.” Also of interest are materials produced about students. For the school’s 75th anniversary in 1889, administrators solicited notes from former students listing their dates of attendance. A list of those who responded appears in the event’s program. The Northern School’s record of pupils is also extant between 1890 and 1903. It includes students’ names, ages, and addresses, as well as their fathers’ (occasionally mothers’) names and occupations, pointing to class and residential patterns.","These records are important for the history of Jewish institution building in Philadelphia, but they have less to say about the history of women’s rights, although the very existence of the school reflects Rebecca Gratz’s dedicated activism. Later remembrances of Gratz included in this collection do include some biographical information about her, but they shed more light on how she functioned as a symbol than on who she was as a person or activist.",
Alice Paul Institute,NEH,Alice Paul Archives - Second Accession,,,,,1;2002.01 - 7;2002.104,,,"The collection contains three-dimensional objects, photographs, books, and documents pertaining to Alice Paul's family, her work for the ERA, and her international efforts for women's rights. Consisting of 24 boxes, it is an especially rich resource for researchers interested in the history of the Equal Rights Amendment.",,,
Alice Paul Institute,NEH,Marjory Nelson Collection,,,,,1;2020 - 3;2020,,,"The collection contains the writings of Marjory Nelson, who wrote her thesis on Alice Paul and the National Woman's Party after living in their headquarters. National Woman's Party memorabilia and correspondence is also included. A significant portion also deals with the Equal Rights Amendment fight, in which Marjory Nelson participated.",,,
Chester County History Center,NEH,"Anna M. Sheeder Account Books & Diaries, 1872-1901","Sheeder, Anna M.",1870-1879,,0.5 linear feet,Ms_Sheeder,,,This digitized selection of eight diaries from the Sheeder Family Account Books and Diaries measures 0.5 linear feet and dates from 1870 to 1879. Found within the diaries are entries documenting Anna Mary Sheeder’s life and daily routines on her family’s farm in East Vincent Township.,"Anna Mary Sheeder (1854-1943) was raised on the Sheeder family homestead in a community originally known as Sheeder Postoffice and later referred to as Red Hill.  The farm was founded by Sheeder’s grandfather, Frederick Sheeder (1777-1865), an immigrant from Germany who arrived in Pennsylvania at the age of 16.  In 1799, Frederick Sheeder purchased a plot of land bordering French Creek and began farming land that would be passed on to Joseph Sheeder, J. Frederick Sheeder, and Anna Sheeder. 

The diaries cover Anna Sheeder’s life as a young adult from age 16 to 25.  During this period, Sheeder completed high school, attended West Chester Normal School (now West Chester University), and, following her graduation in 1874, worked as a schoolteacher for several years.  From 1888 to 1901, she maintained the Sheeder farm account books and would eventually oversee the operation of the family farm, which specialized in dairy cattle.  

Diary entries are intermittent and limited to no more than a page a day—for some periods, there are entries every day interspersed between gaps of months or even seasons.  Topics include the weather, chores, leisure activities, teaching, notable events in her daily life, and a summer vacationing in Atlantic City, New Jersey.  Some notable events include seeking employment at a mill, choking on a raw oyster, beginning a star quilt, romantic interests, disciplining students, and the death of an acquaintance. 

The entirety of the Sheeder Family Account Books and Diaries is housed and available for research use at the Chester County History Center.",,"Column H had item-level id, matched it to item-level record - fixed here, need to re-upload & re-index"
Chester County History Center,NEH,"Jean Kane Foulke Papers, 1880-1960","Foulke, Jean Kane",1850-1955,,1.4 linear feet,MsColl228,http://chestercohistorical.org/jean-kane-foulke-papers,,"This digitized selection from the Jean Kane Foulke papers measures 1.4 linear feet and dates from 1850 to 1955, with the bulk of the materials dating from 1900 to 1920. Found within the scanned papers are correspondence, notes, news clippings, and printed materials related to Foulke’s work as a suffragist, community service leader, and organizer supporting the homefront during World War I.","Correspondence and printed materials highlight Foulke’s work as a suffragist leader.  From 1913 to 1920, Foulke sat on the board of both the Women’s League for Good Government and the Equal Franchise Society of Pennsylvania.  She also served as chairwoman of the State Federation of Pennsylvania Women’s committee for rural women.  Materials include internal organizational memoranda, membership form letters and mailings, printed ephemera, and 1920 election campaign materials.

In addition, Foulke was actively involved with public health issues in Chester County, as documented by correspondence and printed material covering smallpox vaccinations, consumption, a scarlet fever outbreak, and the West Chester sewage system.  Materials also document Foulke’s work with The Grange, Acorn Club, Chester County Historical Society, and College Club.  

Additional folders focus on women’s contributions to the war effort during World War I.  These materials document the Women’s Land Army’s efforts to counteract food and farm labor shortages, women’s war work/labor, and other local safety and educational campaigns. 

The entirety of the Jean Kane Foulke papers is housed and available for research use at the Chester County History Center.",,"Not showing link for ""view digitized items from collection"": http://home.ryanfindley.com:3000/records/mscoll228"
Chester County History Center,NEH,Women’s Suffrage and Civil Rights Collection,various,1850-1921,,0.3 linear feet,MsColl235,http://chestercohistorical.org/women%E2%80%99s-suffrage-and-civil-rights,Suffrage | Women--Suffrage | Voting | Pennsylvania Woman Suffrage Association | National Woman Suffrage Association (U.S.),"The Women’s Suffrage and Civil Rights Collection measures 0.3 linear feet and dates from 1852 to 1933, with the bulk of the materials dating from 1893 to 1917.  Found within the collection are published materials, letters, manuscripts, and ephemera related to women’s suffrage.","Materials document the Pennsylvania Woman Suffrage Association (PWSA) at the state and chapter levels, as well as the larger National Woman Suffrage Association.  The Chester County Equal Suffrage Association is also represented.  Some organizational materials for men, sympathetic temperance materials, and anti-suffrage materials are also included. 

When Elizabeth Cady Stanton introduced a suffrage resolution at the 1848 Seneca Falls Convention in New York, equal suffrage became a central part of the national woman suffrage platform.  Just a few years later, West Chester’s Horticultural Hall became the host location for the Woman’s Rights Convention in June 1852.  In the first afternoon session, voting rights was the first resolution debated and adopted in West Chester.  In 1869, the National Woman Suffrage Association (NWSA) was founded in response to the 15th amendment.  By the early 20th century, state and auxiliary chapters of the NWSA, as well as similarly focused organizations for men, existed in Chester County.

The collection includes correspondence regarding the planning of the 1894 PWSA Convention in West Chester, including letters between Lucy and Susan B. Anthony.  A notebook by Mary Heald Way details women’s suffrage events, club activities, and quotes from publications related to women’s rights.  Printed materials include flyers, tracts, and publications promoting suffrage activity dating from 1893 to 1917.

The entirety of the Women’s Suffrage and Civil Rights Collection is housed and available for research use at the Chester County History Center.",,
Chester County Archives and Record Services,NEH,Chester County Board of Commissioners (RG1000),Board of Relief,1861-1865,,1.2 linear feet,RG1000,https://www.chesco.org/1702/Board-of-Relief-1861-1865,,"This series contains all extant records of the Chester County Board of Relief from 1861 to 1865. The Board’s primary function was to assist the wives, children, and extended families of Union soldiers who were in financial distress. Found within this collection are applications for relief, correspondence, financial account books, and administrative records.","The Chester County Board of Relief was set up by the Act of May 15, 1861 P.L. 749, entitled ""An Act to Create a Loan and to Provide for Arming the State"" to aid local families of Civil War soldiers. Funded by state appropriations, its members included the County Commissioners and Court of Common Pleas Associate Judges. To receive the benefits of this program, families were required to submit an application. If the application was accepted the families would receive assistance based on their individual needs and circumstances. This collection includes the original applications, account books documenting individual payments to families, correspondence between applicants and the Board, and administrative records that document the Board’s activities.","The Board of Relief collection documents the economic impact of the Civil War on the families of the working poor. It details both the war’s effect on soldiers’ families and the process by which local governments attempted to address it. While most of the records only contain demographic information, in some cases application notes and letters provide first person statements from family members. These statements, usually from a soldier’s wife or mother, tell personal stories of suffering and deprivation. Applicant voices can be found among the records of the organization evaluating them and, in some cases, judging and denying them.",
Historical Society of Pennsylvania,NEH (Hidden Voices - bonus),Leon Gardiner collection of American Negro Historical Society records,"Gardiner, Leon, 1892-1945",1715-1962,,8.5 linear feet,HSP 0008,http://www2.hsp.org/collections/manuscripts/g/Gardiner0008.html,"African American abolitionists | African American baseball players--History | African American churches | African American civic leaders--Pennsylvania--Philadelphia | African American educators | American Negro Historical Society | Banneker Institute | Still, William, 1821-1902 |White, Jacob C., 1837-1902","The American Negro Historical Society was established in 1897 in Philadelphia with the purpose of collecting and preserving materials relating to African American history. The materials include the records of many prominent African Americans, including William Octavius Catto, Frederick Douglass, and William Still, as well as a number of black associations, such as the Pennsylvania State Equal Rights League and the Banneker Institute. Membership to the Society was open to both men and women, and members would assemble on a monthly basis to discuss issues regarding race and the preservation of Society materials.","The Leon Gardiner collection contains material from the First African Presbyterian Church. Initially called the First Colored Presbyterian, the church was founded in 1807 by John Gloucester, a former slave from Tennessee who had traveled to Philadelphia after he was freed. In addition to being the first African American Presbyterian congregation in the United States, it was also the fourth church in Philadelphia founded by the African American community. Some of the prominent Church members include William Still, a conductor of the Underground Railroad and Octavius Catto and Jacob C. White Jr., co-founders of the Philadelphia Pythians baseball club. The church records in the Leon Gardiner Collection are made up of meeting minutes, correspondence, and financial documents.

Also within the Leon Gardiner collection are two volumes of the Daughters of Africa, a women-led association of 'mutual relief.' The group helped raise money to support community members in need. The volumes include meeting minutes and an order book. ",,
Historical Society of Pennsylvania,NEH (Hidden Voices - bonus),Mother Bethel African Methodist Episcopal Church records,Mother Bethel African Methodist Episcopal Church,1822-1972,,25 microfilm reels,HSP 2017,https://discover.hsp.org/Record/ead-2017/Description#details,"Mother Bethel African Methodist Episcopal Church (Philadelphia, Pa.) | Allen, Richard, 1760-1831 | African American churches | African American children--Education","In 1787, a group of black Methodists led by Richard Allen left the white-dominated Methodist Church in order to start their own congregation in Philadelphia. That congregation later founded the Mother Bethel African Methodist Episcopal Church, which was dedicated in 1793. Allen was an influential leader abolitionist, and in addition to founding other black Methodist congregations, in 1816 he helped to organize the church as an official denomination. Mother Bethel is therefore the oldest African Methodist Episcopal congregation in the world. The early church records include registers for membership, office holders, meeting minutes, and documents relating to education programs, services, and events. They also include the minutes of the United Daughters of Tapsico Society, which offered aid to sick church members.",,,
Princeton University Library Special Collections,NEH (bonus),Miriam Y. Holden Collection,"Holden, Miriam Young",1676-1993,"1676-1993, bulk 1930/1969",104 boxes and 45.0 linear feet,C0071,http://arks.princeton.edu/ark:/88435/d504rk359,,,"The Miriam Holden Collection consists of books, periodicals, manuscripts, clippings, photographs, cartoons, letters, and other materials about women and their achievements collected by Holden. The collection contains personal papers of Holden, including lectures, speeches, articles and correspondence, reflecting the views of American feminists during the post-19th Amendment, pre- Feminine Mystique era, especially the early efforts to pass an equal rights Amendment. Also included alongside contemporary feminist views is a bulk of materials related to the role women have played in long history, from ancient Rome to the first women lawyers to depictions of women in mythical stories, reflecting Holden's belief that something needed to be done about the absence of women in the world's history.","The largest portion of this collection belongs to the Subject Files--materials collected by Miriam Holden on specific topics, people, events, and ideas. These largely cover subjects related to women's rights and history, although also include many other topics of interest to Holden. Historical materials of note include original correspondence or materials of Belva Lockwood, Susan B. Anthony, Lydia Maria Child, Anna E. Dickinson, Dorothea Dix, Caroline Norton, Alice Paul, and Victoria Woodhull. There are also several original sermons (mid-19th-century) and an autograph song by Victoria Woodhull on the Beecher & Tilton Scandal.",
African American Museum in Philadelphia,NEH (Hidden Voices),"Records of Golden Star Lodge No. 4 of Independent Order of Good Samaritans and Daughters of Samaria (Philadelphia, Pa.)","Independent Order of Good Samaritans and Daughters of Samaria of the United States of America. Golden Star Lodge No. 4 (Philadelphia, Pa.)",1881-1947,1881-1947 (bulk 1910-1925),4 linear feet,AAMP 10,http://hdl.library.upenn.edu/1017/d/pacscl/SMREP_AAMP10,"African Americans | Fraternal organizations | Secret societies | Temperance--Societies, etc | Women--Societies and clubs","The Independent Order of Good Samaritans and Daughters of Samaria was a gender-integrated temperance group and beneficial society. Predominantly African American soon after its founding in 1847, it became one of the largest African American fraternal groups. A Philadelphia branch, Golden Star Lodge, No. 4, was organized in 1880. The Records of Golden Star Lodge No. 4 of Independent Order of Good Samaritans and Daughters of Samaria (Philadelphia, Pa.), 1881-1947 (bulk 1910-1925), consist of various administrative, financial, and scattered membership records of the local lodge.","This collection consists of various administrative, financial, and membership records of Golden Star Lodge #4 of the Independent Order of Good Samaritans and Daughters of Samaria. It includes minute books, 1889-1898 and 1909-1915, and some loose minutes; printed constitutions and by-laws; correspondence; treasurer's reports, ledgers, receipts, and other financial documents; Sick Committee reports; doctors' notices, death notices, and funeral arrangements; and scattered membership applications, certifications, and recommendations. There are some textiles and paper fans in the collection.","This provides a glimpse into the extensive role Black women played in this organization. It also provides information about the demographics of these members, such as their ages and occupations. It allows researchers to see the services the women in this group provided to one another, and the support members recieved from the organization in times of need. These records show who the officers were at certain points of time and how members communicated with one another via written correspondence.",
